YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2022,"Williams, Jaylin",C,80.75,236.6,25.51,0.0800,85.00,108.5,8.50,10.50,24.5,30.0,11.64,3.10,3.50,NA,1.053,89.3,133.0,138.5
2022,"Williams, Mark",C,84,242.4,24.15,0.0540,90.50,117.0,9.00,9.80,NA,NA,NA,NA,NA,NA,1.077,87.8,NA,NA
2022,"Williams, Trevion",C,79.25,264.6,29.62,0.1080,86.75,108.5,9.00,10.30,27.5,30.0,12.75,3.46,3.48,NA,1.095,92.3,136.0,138.5
2021,"Abmas, Max",PG,70.50,161.8,22.89,0.0550,73.75,94.0,8.00,7.80,28.5,32.5,10.90,3.49,3.12,NA,1.046,62.0,122.5,126.5
2021,"Bagley, Marcus",SF,78.00,216.8,25.05,0.0750,83.00,102.5,8.75,8.50,32.5,38.5,12.26,3.10,3.17,NA,1.064,74.4,135.0,141.0
2021,"Barnes, Scottie",SF,79.00,225.4,25.39,0.0530,86.75,108.0,9.25,10.30,36.0,39.5,10.88,2.99,3.15,NA,1.098,94.8,144.0,147.5
2021,"Bassey, Charles",C,81.25,230.2,24.51,0.0590,87.00,107.5,9.00,9.50,33.0,36.0,12.19,3.33,3.13,NA,1.071,85.5,140.5,143.5
2021,"Boston Jr., Brandon",SF,77.75,188.0,21.86,0.0600,82.75,104.0,9.00,9.80,NA,NA,NA,NA,NA,NA,1.064,87.8,NA,NA
2021,"Bouknight, James",SG,75.50,190.0,23.43,0.0550,80.25,101.5,8.75,9.00,NA,NA,NA,NA,NA,NA,1.063,78.8,NA,NA
2021,"Brown III, Greg",PF,79.25,206.4,23.10,0.0550,84.25,107.0,9.00,9.80,33.5,39.0,10.98,2.98,3.19,NA,1.063,87.8,140.5,146.0
2021,"Butler, Jared",PG,74.25,193.0,24.61,0.0510,76.00,98.5,8.50,8.30,NA,NA,NA,NA,NA,NA,1.024,70.1,NA,NA
2021,"Champagnie, Justin",PF,77.75,206.4,24.00,0.0630,81.50,104.0,8.75,8.50,27.0,35.0,11.94,3.14,3.34,NA,1.048,74.4,131.0,139.0
2021,"Christopher, Josh",SG,75.25,214.8,26.67,0.0580,81.25,101.0,8.75,8.50,29.5,37.5,11.32,3.30,3.14,NA,1.080,74.4,130.5,138.5
2021,"Dosunmu, Ayo",SG,75.50,194.4,23.97,0.0490,82.25,102.0,8.50,8.80,27.0,33.5,11.51,3.27,3.23,NA,1.089,74.4,129.0,135.5
2021,"Duke Jr., David",SG,76.25,203.6,24.62,0.0590,80.75,102.5,8.50,9.00,30.0,39.0,11.21,3.19,3.08,NA,1.059,76.5,132.5,141.5
2021,"Edwards, Kessler",PF,79.00,203.0,22.87,0.0430,83.25,106.0,8.50,8.30,28.0,37.0,11.30,3.38,3.25,NA,1.054,70.1,134.0,143.0
2021,"Garza, Luka",C,82.00,242.8,25.38,0.1170,85.50,107.5,9.00,9.30,24.0,29.5,11.90,3.38,3.51,NA,1.043,83.3,131.5,137.0
2021,"Gray, RaiQuan",PF,78.50,268.6,30.64,0.1730,82.75,105.0,9.25,9.00,26.5,31.5,11.69,3.30,3.25,NA,1.054,83.3,131.5,136.5
2021,"Grimes, Quentin",SG,76.00,205.0,24.95,0.0660,80.00,101.0,8.50,10.00,30.5,38.5,11.09,3.33,3.07,NA,1.053,85.0,131.5,139.5
2021,"Hauser, Sam",SF,78.75,217.4,24.64,0.0790,81.25,102.0,8.25,9.00,28.5,34.5,11.14,3.07,3.34,NA,1.032,74.3,130.5,136.5
2021,"Henry, Aaron",SF,76.50,209.6,25.18,0.0560,82.75,103.5,8.50,9.30,29.0,35.0,11.68,3.18,3.07,NA,1.082,78.6,132.5,138.5
2021,"Hurt, Matt",PF,80.50,232.4,25.21,0.1520,81.50,106.5,9.00,9.00,25.5,32.5,11.44,3.25,3.34,NA,1.012,81.0,132.0,139.0
2021,"Hyland, Nah'Shon",SG,74.00,169.0,21.70,0.0580,81.25,101.5,8.75,9.00,26.5,34.0,10.53,3.17,3.10,NA,1.098,78.8,128.0,135.5
